 178-185 F8.3   mag     [8.0]   Spitzer [8.0] band magnitude
 187-194 F8.4   mas     Plx     Parallax from Gaia DR2
 196-203 F8.4   mas   e_Plx     Error of parallax 
 205-212 F8.3  mas/yr   pmRA    Proper motion in right ascension direction from Gaia DR2
 214-221 F8.3  mas/yr e_pmRA    Error of proper motion in right ascension direction
 223-230 F8.3  mas/yr   pmDE    Proper motion in declination direction from Gaia DR2
 232-239 F8.3  mas/yr e_pmDE    Error of proper motion in declination direction
 241-248 F8.2  km/s     RV      Radial velocity from Gaia DR2
 250-257 F8.2  km/s   e_RV      Error of Radial velocity
 259-266 F8.2  km/s     v_z     Velocity in z direction
 268-275 F8.2  km/s   e_v_z     Error of velocity in z direction                         
--------------------------------------------------------------------------------
  336.8577177   57.3727516  104.4543636   -0.2392287   7.399450   10.695    0.083    0.169    0.030   0   10.864   10.234   10.060    9.833    9.848 9999.000 9999.000 9999.000 9999.000   0.0000   0.0000    0.000    0.000    0.000    0.000   -34.78     4.08     7.40     0.02
  299.1326159   28.8497558   65.7074211    0.0906143   6.695680    9.633    0.084    0.399    0.083   0   11.511   10.543   10.152    9.921    9.844    9.812    9.719 9999.000 9999.000   0.1018   0.0778   -2.683    0.116   -4.883    0.117     0.00     0.00    -4.03     5.39
  288.9704153   12.6190283   46.9252070    0.4104410   6.530590    4.385    0.084    0.552    0.070   0   10.181    9.192    8.680    8.256    8.184    8.411    8.327    8.242    8.229  -0.0358   0.0792   -2.138    0.126   -3.875    0.113    39.60     7.05     0.00     0.00
  305.2363791   35.0371511   73.7123646   -0.8957023   9.938900    5.926    0.089    0.339    0.070   0    9.793    8.832    8.460    8.304    8.210    8.103    8.024 9999.000 9999.000   0.1405   0.0512   -3.245    0.081   -4.831    0.091     0.00     0.00     5.42     2.37
  300.8084788   30.7858981   68.1187613   -0.1279329  16.839160    7.816    0.106    0.479    0.076   0   10.021    9.021    8.587    8.052    8.093    8.365    8.286 9999.000 9999.000  -0.1338   0.0636   -2.932    0.095   -4.740    0.141   -13.00     2.25     5.81     4.10
  300.0103028   29.1868541   66.3960897   -0.3873363  18.422360    2.738    0.088    0.711    0.120   0    8.101    6.965    6.425    5.947    5.702    5.949    5.807 9999.000 9999.000   0.4738   0.0795   -2.694    0.125   -6.199    0.121   -14.27     7.29    -5.24     1.70
  299.9765196   38.7783192   74.5556012    4.6679286  15.787580   39.746    0.083    0.003    0.001   0   12.196   11.710   11.544   11.601   11.522 9999.000 9999.000 9999.000 9999.000   0.0560   0.0210   -1.873    0.032   -2.879    0.034     0.00     0.00     0.00     0.00
   99.4511611   -1.7644911  212.9496023   -3.8374576  15.703210    9.430    0.094    0.337    0.064   0   10.044    9.312    8.983    8.508    8.590 9999.000 9999.000 9999.000 9999.000   0.2036   0.0458   -1.437    0.069   -1.409    0.064    64.67     5.18   -82.75     4.70
  280.9439077  -13.4639856   20.0637805   -4.4297505  12.749390   18.623    0.084    0.216    0.037   0   11.428   10.795   10.560   10.308   10.284 9999.000 9999.000 9999.000 9999.000   0.0915   0.0337   -3.711    0.061   -6.573    0.054     0.00     0.00     0.00     0.00
   74.9790254   10.2884556  189.9549950  -19.1505406   6.440970   33.176    0.084    0.001    0.000   0   12.945   12.531   12.448   12.441   12.436 9999.000 9999.000 9999.000 9999.000  -0.0503   0.0366    0.509    0.057   -0.418    0.037     0.00     0.00     0.00     0.00
